Num cards,average rounds,stddev,min,max,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,1.3957,0.6544954900032875,1,5,0.6848,0.9325,0.9881,0.9989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.9751,1.2388032343133974,1,11,0.4685,0.745,0.8876,0.9531,0.9811,0.9936,0.9978,0.9991,0.9994,0.9997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2.7707,2.0040267269455843,1,21,0.328,0.5671,0.7288,0.8368,0.9016,0.9414,0.9672,0.9807,0.9901,0.9945,0.997,0.9982,0.9989,0.9996,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,3.8923,3.0441464144714314,1,27,0.2273,0.4163,0.5664,0.6848,0.7692,0.8337,0.8804,0.9161,0.9426,0.961,0.9727,0.9816,0.9867,0.991,0.993,0.9952,0.9964,0.9976,0.9982,0.9988,0.9993,0.9998,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5.566,4.383875663905588,1,33,0.1518,0.2937,0.4094,0.5104,0.6004,0.6758,0.7371,0.7905,0.8323,0.8684,0.8956,0.9173,0.9359,0.9509,0.9632,0.9733,0.9796,0.9851,0.9897,0.9925,0.9942,0.9961,0.9974,0.9978,0.9983,0.9991,0.9995,0.9997,0.9997,0.9997,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,7.7729,6.265688427870278,1,47,0.1104,0.2072,0.3001,0.3809,0.4562,0.5222,0.5807,0.6412,0.6888,0.7309,0.7691,0.8047,0.8314,0.8604,0.8853,0.9072,0.9254,0.9386,0.949,0.9561,0.9633,0.9685,0.9736,0.9782,0.9823,0.985,0.9871,0.9893,0.9907,0.9922,0.9933,0.9947,0.9961,0.9967,0.9975,0.998,0.9983,0.999,0.9993,0.9996,0.9997,0.9997,0.9997,0.9997,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,10.8987,8.940974914025949,1,91,0.0735,0.1425,0.2074,0.2647,0.329,0.3845,0.4387,0.4882,0.5345,0.5767,0.6165,0.6568,0.6944,0.7288,0.7645,0.7966,0.8226,0.8413,0.8604,0.8742,0.8875,0.9,0.91,0.9209,0.9286,0.9372,0.9427,0.9489,0.9548,0.9612,0.9667,0.9715,0.9753,0.9776,0.9803,0.9831,0.9847,0.9865,0.9877,0.9885,0.9895,0.9907,0.9919,0.9927,0.9937,0.9945,0.9953,0.9957,0.9961,0.9965,0.9971,0.9974,0.9979,0.9981,0.9983,0.9984,0.9986,0.9987,0.9989,0.9992,0.9992,0.9993,0.9993,0.9994,0.9994,0.9995,0.9997,0.9997,0.9997,0.9997,0.9998,0.9998,0.9998,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,15.1536,12.91591611651736,1,120,0.0516,0.1046,0.153,0.1978,0.2408,0.2841,0.3249,0.3641,0.4036,0.4431,0.4839,0.5213,0.5622,0.5995,0.6373,0.6654,0.6889,0.71,0.7301,0.7464,0.7633,0.779,0.7941,0.8071,0.8227,0.8375,0.8504,0.8622,0.8734,0.8832,0.8926,0.902,0.9087,0.916,0.9219,0.927,0.9317,0.9371,0.9424,0.9459,0.9503,0.9545,0.9594,0.9628,0.966,0.9681,0.9714,0.9743,0.9766,0.9783,0.9799,0.9819,0.9837,0.9854,0.9865,0.9876,0.9891,0.9901,0.9906,0.9911,0.9926,0.9934,0.9937,0.9941,0.9945,0.995,0.9955,0.9957,0.996,0.9963,0.9969,0.9971,0.9973,0.9976,0.9977,0.9981,0.9982,0.9986,0.9986,0.9986,0.9988,0.9988,0.9988,0.999,0.999,0.9991,0.9991,0.9993,0.9994,0.9994,0.9994,0.9994,0.9995,0.9995,0.9995,0.9995,0.9996,0.9996,0.9996
9,21.6277,18.838964498303426,1,151,0.0339,0.0672,0.0991,0.1308,0.1634,0.1968,0.2296,0.2598,0.2918,0.3241,0.3566,0.394,0.4272,0.4574,0.4886,0.5136,0.5364,0.5585,0.5779,0.5946,0.6127,0.6308,0.6492,0.667,0.6836,0.7019,0.7213,0.7366,0.7498,0.7623,0.7746,0.7854,0.7954,0.8044,0.8158,0.8249,0.8338,0.8432,0.8524,0.8606,0.8683,0.8742,0.8818,0.889,0.8946,0.8999,0.9058,0.9112,0.916,0.9198,0.9239,0.9276,0.9312,0.9353,0.9384,0.9419,0.9455,0.948,0.9504,0.9527,0.9555,0.9574,0.9597,0.9614,0.9635,0.965,0.9666,0.9697,0.9711,0.9724,0.9737,0.9756,0.9774,0.9786,0.9801,0.9811,0.9819,0.9827,0.9835,0.9845,0.9854,0.9867,0.9875,0.9887,0.9895,0.9901,0.9906,0.9912,0.9918,0.992,0.9923,0.9927,0.993,0.9931,0.9938,0.9944,0.9945,0.9948,0.9951
10,30.3553,26.693907888914243,1,236,0.0222,0.0429,0.0678,0.0918,0.1144,0.136,0.1572,0.1813,0.2052,0.2311,0.258,0.2874,0.3157,0.3402,0.3631,0.3854,0.4052,0.4218,0.4397,0.4584,0.4744,0.4906,0.5075,0.5264,0.5437,0.5627,0.5781,0.5951,0.6099,0.6236,0.6361,0.6487,0.6589,0.6699,0.6808,0.6902,0.7028,0.7143,0.7247,0.7359,0.7464,0.7571,0.7662,0.7746,0.7815,0.7888,0.7967,0.8043,0.811,0.8176,0.8263,0.8337,0.839,0.8444,0.8503,0.8549,0.859,0.8652,0.8709,0.876,0.8811,0.8863,0.8902,0.8943,0.8986,0.9031,0.9075,0.9119,0.9146,0.918,0.921,0.9244,0.9267,0.9299,0.933,0.9357,0.9383,0.9404,0.9422,0.9449,0.9465,0.9476,0.9496,0.9514,0.9541,0.9557,0.9574,0.959,0.9613,0.9622,0.9637,0.9655,0.9668,0.9678,0.9696,0.9708,0.9719,0.9726,0.9736
