Num cards,average rounds,stddev,min,max,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,1.3342,0.613960955440556,1,5,0.7304,0.9466,0.9902,0.9986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1.8039,1.10207361216239,1,9,0.5239,0.8009,0.9209,0.9671,0.988,0.9961,0.9993,0.9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2.4323,1.71572465189147,1,18,0.3825,0.6392,0.7919,0.8838,0.9361,0.9668,0.9844,0.9926,0.9959,0.9976,0.9983,0.9994,0.9997,0.9998,0.9999,0.9999,0.9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,3.3458,2.61795869539095,1,31,0.2791,0.4871,0.642,0.7573,0.8303,0.8859,0.9216,0.9488,0.9659,0.9778,0.9861,0.9903,0.9933,0.9956,0.9974,0.9987,0.9991,0.9993,0.9997,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,4.4802,3.60070888443471,1,35,0.1978,0.3684,0.5094,0.6207,0.7072,0.7768,0.8317,0.8699,0.9046,0.9278,0.9466,0.9591,0.9703,0.9793,0.9849,0.9889,0.9924,0.9948,0.997,0.9981,0.9985,0.999,0.9993,0.9995,0.9996,0.9997,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,6.044,4.9612423235052,1,49,0.144,0.2728,0.3828,0.4844,0.5728,0.6452,0.7086,0.755,0.8002,0.8353,0.8684,0.8922,0.9126,0.9293,0.9454,0.9598,0.9689,0.9761,0.9818,0.9864,0.9886,0.9906,0.9921,0.9938,0.9952,0.9957,0.9965,0.9971,0.9975,0.9979,0.9983,0.9983,0.9986,0.9988,0.999,0.9993,0.9993,0.9996,0.9996,0.9996,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9999,0.9999,1
7,8.0518,6.59565516281004,1,51,0.1013,0.1977,0.2924,0.3693,0.4468,0.5144,0.5777,0.6298,0.6732,0.7157,0.7535,0.7903,0.8258,0.8568,0.8784,0.8952,0.913,0.9263,0.9376,0.9445,0.9532,0.9599,0.9657,0.971,0.9755,0.9792,0.9827,0.9856,0.9885,0.9904,0.9924,0.9937,0.9947,0.9957,0.9964,0.997,0.9972,0.9976,0.998,0.9984,0.9986,0.9991,0.9994,0.9996,0.9996,0.9998,0.9999,0.9999,0.9999
8,10.5932,8.96019766937245,1,80,0.0791,0.1511,0.2184,0.282,0.3409,0.3984,0.4496,0.5003,0.5484,0.5953,0.6393,0.6837,0.7225,0.7578,0.7876,0.8096,0.8285,0.8485,0.8647,0.8765,0.8903,0.9031,0.9138,0.9212,0.9308,0.9418,0.9503,0.9558,0.9607,0.9658,0.9696,0.9726,0.9754,0.9779,0.98,0.9816,0.9835,0.9854,0.987,0.9879,0.9886,0.9904,0.991,0.9915,0.9921,0.993,0.9936,0.9943,0.9951
9,13.8753,12.1250505811382,1,146,0.0559,0.1099,0.1649,0.217,0.2659,0.3174,0.3616,0.4052,0.4454,0.4889,0.5356,0.5764,0.6161,0.6487,0.6769,0.7033,0.7225,0.7416,0.7628,0.7808,0.7959,0.8109,0.8264,0.8399,0.8563,0.8668,0.8805,0.891,0.9005,0.9084,0.9156,0.9211,0.9268,0.9328,0.9383,0.9435,0.9479,0.952,0.9553,0.9599,0.9632,0.9656,0.9691,0.9717,0.9735,0.9757,0.9776,0.9792,0.9815
10,18.1658,15.9576243513091,1,152,0.0393,0.0757,0.1166,0.1566,0.1917,0.2306,0.2673,0.3081,0.3489,0.3907,0.4342,0.4741,0.5088,0.5392,0.5665,0.5899,0.6117,0.6316,0.6518,0.6717,0.69,0.709,0.7291,0.7476,0.7635,0.7796,0.7929,0.8036,0.8146,0.824,0.8343,0.8435,0.853,0.862,0.8713,0.8805,0.8883,0.8956,0.9026,0.9079,0.9131,0.9192,0.9246,0.9288,0.9333,0.9379,0.9413,0.9443,0.9471
11,24.0964,21.5297018057841,1,180,0.0307,0.0619,0.0906,0.1186,0.1472,0.1769,0.2069,0.2397,0.2697,0.3038,0.3394,0.3737,0.403,0.4282,0.4508,0.4739,0.4952,0.5133,0.5339,0.5539,0.5737,0.5949,0.6145,0.6324,0.6509,0.6664,0.6808,0.6935,0.7056,0.7179,0.7298,0.7425,0.755,0.766,0.7764,0.7879,0.7959,0.8062,0.8148,0.8231,0.8311,0.8383,0.8465,0.8537,0.8591,0.8651,0.8705,0.8766,0.8821
12,32.2965,29.5719366578141,1,249,0.0217,0.0436,0.0653,0.086,0.1087,0.1344,0.1571,0.185,0.213,0.2423,0.2685,0.2942,0.3147,0.3353,0.3531,0.3707,0.3893,0.4064,0.4232,0.4429,0.4639,0.4829,0.5008,0.517,0.5328,0.5466,0.5607,0.5748,0.5868,0.6007,0.6122,0.6257,0.6372,0.6494,0.6623,0.6733,0.6833,0.6934,0.704,0.7132,0.7233,0.7314,0.7417,0.7493,0.7593,0.7674,0.7756,0.7836,0.7913
